Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DOW,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
31/01/2020,76.03622437,200.5847321,125.8848877,316.3875732,124.5710297,182.3099976,42.94512177,94.56594086,,138.3099976,226.81633,216.9730225,164.6713104,121.3560257,59.86942673,140.4655762,123.7285843,54.32598495,202.9597321,145.3698273,75.57658386,166.3132782,94.46344757,118.0341568,124.6173019,263.54245,195.8521118,53.73720932,45.900177,110.0204086
03/02/2020,75.82740021,201.3553162,126.9802094,314.131012,123.0725708,185.4199982,43.46828079,93.80687714,,141.3200073,228.0184021,220.2451935,162.8650665,123.5006332,60.32830811,141.6921844,124.6727219,54.49342728,204.1074524,143.4732361,77.25724792,170.3677826,97.37680054,118.4982605,126.5014191,265.0610962,197.6632843,52.48057175,45.99044418,109.8090057
04/02/2020,78.33074188,205.9324188,127.8041077,316.0595398,126.6195297,188.3399963,44.48655319,94.3099823,,144.7299957,230.8136597,223.5364075,166.5631104,125.8985367,61.30224991,143.0414429,126.4674988,54.73529053,203.5762787,144.0687866,78.15949249,175.9756775,99.44656372,119.0192032,125.526207,271.6581421,200.3701935,52.69754791,47.24514008,110.7699814
05/02/2020,78.96948242,215.3372803,129.5004272,327.6008606,130.3466797,185.4900055,45.26193619,97.33743286,,141.3699951,233.0651398,226.4947205,168.169693,131.9945984,63.06283188,145.2965088,128.6175385,54.74458313,203.3391418,148.7324371,75.92157745,175.760788,98.62258911,120.1084213,129.5027618,286.0613403,199.6319275,53.45695877,47.82283783,112.2498474
06/02/2020,79.89318848,214.88237,129.1611633,339.410614,130.1665039,186.7299957,45.48614502,96.64013672,,142.6999969,230.699173,227.1890869,167.6468201,132.357666,63.13811493,144.8625031,128.6362152,54.87482452,201.9163513,149.2454987,75.78887939,179.4049835,98.35773468,120.4209824,129.2376862,282.8982239,199.8583374,53.73720932,48.28319931,111.7693634
07/02/2020,78.80722046,212.9141083,127.7750397,334.7583008,126.486763,185.7200012,44.81352234,96.1546936,,141.0200043,227.0548401,225.7242584,166.6296387,130.8817291,62.13114548,143.3150635,128.2248993,55.06087112,200.7211914,146.6708984,75.25814819,179.6589661,97.54356384,119.4169998,128.7737427,279.7641602,199.5630493,54.18924332,48.05753708,111.9039078
10/02/2020,79.18151093,211.1408386,128.1821442,342.6314697,127.3877411,189.1199951,45.65429306,96.90494537,,142.5899963,226.4442902,228.872757,168.2172394,131.7519531,62.47936249,143.2867737,128.7577515,55.58180618,202.2388611,146.7350464,75.7711792,184.3583069,98.11249542,119.502243,128.97258,277.6456909,202.7621307,54.46046448,48.22000504,110.7507553
11/02/2020,78.70378876,212.5706024,128.5601654,342.3829346,129.1612244,189.1100006,45.89719009,98.15829468,,141.0099945,225.5856781,229.8525238,170.3086548,130.9414673,63.43927383,143.4094391,129.0007935,55.43296432,204.6291504,148.8423615,75.40852356,180.1963348,98.11249542,117.5984726,130.0708466,281.2828369,200.7442627,53.05916977,47.83187103,110.8948975
12/02/2020,80.57282257,210.7509155,129.1514893,345.3950195,132.3857574,189.4600067,46.64455414,98.8908844,,141.8500061,227.6749573,229.8049622,172.2384491,132.5027161,63.48633194,142.5602417,129.0007935,55.26552582,206.2701263,150.0792847,73.63939667,180.4601288,101.0356674,116.9259872,128.4897003,293.5579529,204.1894226,52.64330292,49.16779709,111.3273239
13/02/2020,79.99906921,208.544281,130.3340454,342.8200073,132.5090179,188.6399994,44.2062912,98.55547333,,140.8999939,227.3887329,230.537384,171.2307739,131.6495361,63.46750641,141.6167145,128.8886108,55.4515686,206.232193,147.7032471,72.50717163,179.4831238,101.3986282,118.3562012,129.5974426,292.3197327,204.4457092,53.02301025,48.35541153,112.8552704
14/02/2020,80.01876831,208.9556885,131.7007751,340.4899902,130.8683319,189.9499969,43.87932587,98.29651642,,139.5399933,226.1771545,233.0771179,171.8867188,128.5697021,63.30753708,141.6544189,128.4960327,55.7678566,205.9192047,148.8589325,73.1086731,181.0853882,101.5653763,119.4738388,130.430603,289.0115967,207.2945251,52.89644241,47.70549393,113.2876816
18/02/2020,78.55358887,207.2820282,131.4390717,338.8800049,129.5311127,191.0899963,43.5243187,98.43938446,,139.1399994,222.4851379,232.0402985,170.5653229,128.910965,62.24407578,140.7203369,126.7946777,55.3771553,205.0275421,146.8896637,72.94061279,182.9221649,100.0547562,118.2709503,128.65065,292.2617493,208.1915894,52.35400009,47.22108841,114.9597549
19/02/2020,79.69126129,208.4694977,132.728241,338.2999878,129.7966461,192.8699951,43.24406815,98.88587189,,141.3000031,226.4156494,231.7549286,171.9342651,128.7062073,63.15694427,140.5316315,128.5240326,55.60041046,204.5343323,147.3149261,72.53371429,183.4707489,100.5059738,118.8108292,127.3535309,295.328125,210.2714844,52.63426971,47.4122963,113.0858765
20/02/2020,78.87371826,207.7027588,132.3889923,336.2799988,129.8630219,193.3600006,43.76721573,98.05542755,,140.3699951,222.0272064,234.9700623,171.7821503,129.0133514,61.59471893,139.9937897,128.5240326,55.55389786,204.0126343,146.593811,72.9671402,180.6689148,100.5746307,119.8905792,126.8517456,292.2521057,208.4380035,52.51673508,47.23018646,113.0955048
21/02/2020,77.08839417,208.3105316,130.7605438,330.3800049,130.1285858,189.5,43.25340652,97.34106445,,138.9700012,220.0142365,233.3720245,171.0026398,127.835968,60.55010223,141.465744,126.9536209,55.9352951,204.7619476,145.0868073,72.8344574,174.9575043,98.33811951,120.0042419,127.968956,291.5749817,205.8356171,52.61618805,46.84776306,113.9507523
24/02/2020,73.42667389,203.7196503,124.2564316,317.8999939,125.3486938,185.9400024,41.10474396,93.50135803,,133.0099945,214.2138367,228.0071411,166.6201477,124.9267502,58.12208557,138.5505829,123.5416412,54.55854034,202.5328979,141.0373535,71.94104767,167.4141083,94.08089447,116.7839127,126.9842682,268.7078552,195.9583588,52.42633057,44.64422989,111.7789841
25/02/2020,70.93955231,196.7071075,117.1901398,304.1400146,122.3422928,181.2700043,39.92765808,89.92952728,,128.1900024,207.6025543,225.8003082,159.5187988,120.8998947,56.21165466,137.3541107,118.0263824,53.78643799,201.1860046,135.7675629,71.0034256,164.651474,91.12828827,115.0127487,123.8314285,254.7786713,185.7163391,51.63980484,43.26019669,109.9243164
26/02/2020,72.06490326,200.5966949,114.8637772,305.5899963,121.6310043,178.8699951,39.38582611,87.54534149,,123.3600006,205.8566895,223.8027496,158.9293823,119.227684,56.13637161,136.4330444,118.3815994,53.58178711,199.2888947,137.7183075,70.71151733,166.7087708,90.24546051,113.8098602,121.7200928,254.4014282,184.5433044,51.65787888,43.40588379,109.33815
27/02/2020,67.35415649,190.274231,109.348381,287.7600098,116.90802,172.1499939,37.40532303,84.05388641,,118.0400009,196.2307281,213.767395,152.4968872,113.5627899,52.54138947,132.1030426,113.4552689,51.09804535,190.657135,138.8277435,69.0662384,154.9626312,86.86125183,107.5018082,117.4784622,245.6182709,177.4458466,49.77744293,42.10380173,106.0901031
28/02/2020,67.31475067,186.7492523,106.5567551,275.1099854,117.8279572,170.3999939,37.30256271,83.34844208,,117.6500015,192.7080994,207.213501,155.0010681,111.0374603,52.24964523,127.6971054,108.5382767,49.75850677,185.3311462,137.9771729,67.72172546,158.7147217,87.91867065,107.2460938,113.4356308,246.6242523,179.170929,48.96378708,41.66672897,103.4762726
02/03/2020,73.58180237,198.408783,110.3758545,289.269989,121.0145493,176.7599945,38.4609642,86.25054932,,119.9800034,201.0587463,218.7232513,156.9795532,114.5780258,54.75296021,132.9576416,113.5954819,52.01898193,193.3296661,141.4719086,71.97642517,169.2754822,91.16471863,113.2415543,120.8869171,264.1808167,189.5903931,51.82060623,43.80652237,111.3561554
03/03/2020,71.24489594,191.1344299,104.6956711,280.6199951,117.9607391,169.3699951,37.40532303,84.28604889,,116.4499969,195.261261,216.8208313,154.7334442,109.9710159,52.67313385,128.7510834,109.3328476,52.14922714,190.4280701,134.2790375,69.99501801,161.1638794,89.44333649,111.9250183,118.643013,252.8536835,183.0843658,50.35603714,41.99452972,108.5021057
04/03/2020,74.54955292,201.1296692,112.1496964,283.1199951,120.8248749,175.6900024,38.66649628,87.98287964,,119.1800003,200.358078,229.3198242,163.6223297,114.5097809,55.22351074,136.2431488,112.0343857,54.8096962,197.5962067,142.3594666,73.39173889,167.0810547,92.25656891,117.9205017,124.5320892,279.9576416,191.5224152,52.54386139,44.33464813,112.2114029
05/03/2020,72.13140106,198.3339996,107.5357666,260.3699951,115.6751099,169.6000061,36.96624756,86.78632355,,113.9800034,190.8076019,223.3556976,157.6295166,110.5255814,53.60482407,134.8472748,106.5378342,52.78178787,189.2922363,139.9833984,72.16218567,162.888092,89.09905243,115.2021866,121.2088394,273.7088318,184.2968445,51.67596436,44.41658783,111.3945923
06/03/2020,71.17349243,196.9595184,104.918602,262.3299866,115.1440201,164.0800018,37.0690155,85.11650085,,115.2699966,185.1061401,217.3630066,156.7788544,108.9728394,52.48491669,134.866272,101.0319138,51.40502548,189.807663,142.0543518,72.71062469,158.2837067,86.91534424,115.2305984,118.1980209,274.5890808,181.7338867,51.41378403,45.99184036,112.6534653
09/03/2020,65.5442276,185.4776306,95.27393341,227.1699982,98.6989212,151.2100067,35.46218491,72.03470612,,104.3499985,165.8708191,200.193512,146.1026459,100.5095978,47.85473251,129.5582275,87.34661865,48.24221039,178.3538971,133.1880951,69.84466553,147.556427,82.73484039,109.9265289,110.7451172,264.5000916,168.6923676,50.47356033,44.10700226,112.5861969
10/03/2020,70.26483154,193.3597717,100.1302032,231.0099945,100.9940414,161.3399963,37.44269943,75.88334656,,111.4599991,176.9474487,214.6900787,154.5422974,106.4475021,50.800354,134.4959564,94.13317108,49.91664505,190.7621155,141.7307587,72.5513916,157.6469116,86.85633087,114.1792603,113.9569092,270.8456116,179.9989471,51.09736633,44.76260376,115.1135025
11/03/2020,67.82448578,185.7394257,92.45321655,189.0800018,95.49337769,154.5700073,34.61206818,74.14208221,,105.5100021,164.9877625,203.8598328,146.6092224,100.6461029,48.61701202,125.1522598,89.70227814,48.56780243,179.6806488,136.1280975,70.10118103,150.5051727,82.62663269,105.692749,107.3141174,268.6982117,170.4864349,49.56950378,41.94900131,109.9627762
12/03/2020,61.12650299,170.3959656,80.96685028,154.8399963,87.49845886,140.5899963,31.01539993,68.09677124,,91.80999756,144.6294403,182.5057068,128.8887939,87.71233368,42.85751343,119.0845566,82.3081131,43.87009048,162.3854828,123.4989929,65.85530853,136.2315369,72.98686218,96.45803833,97.38326263,242.2230225,157.7997589,46.28777313,37.35072708,99.98799896
